id;group_code;group_name;group_count;data_time
1;success;Tuvalu;99296;2019-09-11T10:26:21
2;Optional;Associate Central African Republic Savings Account;69574;2019-09-12T01:25:47
3;Orchestrator Naira;Legacy Unbranded Plastic Chips;95041;2019-09-12T07:06:32
4;brand Generic B2B;olive;46369;2019-09-11T23:10:45
5;Persevering analyzing;Engineer Architect;69816;2019-09-12T07:43:19
6;dynamic schemas;Pound Sterling Keyboard;91092;2019-09-12T06:40:08
7;Usability models New Mexico;markets Accountability EXE;4521;2019-09-12T04:32:30
8;portals;online Strategist Shirt;59413;2019-09-11T14:30:28
9;redefine transmitting;bypassing Bypass;41481;2019-09-12T05:17:07
10;Movies;SMS;81290;2019-09-11T19:40:24
