id;course_code;course_name;course_count;course_week_count;course_memo;data_time;course_user
1;mobile Fish;Home Loan Account Table Computer;5808;45924;seamless Metal deposit;2019-09-12T07:08:37;transmitter Implementation Electronics
2;Soap methodology Albania;Home Namibia;39986;13949;zero administration;2019-09-11T23:42:18;Common
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;1326;Usability South Dakota envisioneer;2019-09-12T08:06:51;Public-key
4;infomediaries;Investment Account;83319;3438;Regional;2019-09-12T02:17:13;invoice
5;convergence;Mayotte;18485;3131;synthesizing Views e-enable;2019-09-11T10:15:28;capacitor archive
6;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;35675;mission-critical Faroe Islands Plastic;2019-09-11T13:14:42;Small
7;deliverables reinvent 24 hour;overriding;70685;71134;1080p Checking Account Identity;2019-09-11T16:52:18;Internal
8;Investment Account archive Fantastic Plastic Chicken;payment;59129;63755;COM;2019-09-11T21:09:52;Frozen bus
9;hard drive Robust Networked;Poland;42754;11089;partnerships;2019-09-12T03:39:23;Dynamic
10;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;22879;Generic neutral Salad;2019-09-11T10:11:06;virtual deposit
