id;plan_code;plan_memo;plan_target;plan_count;plan_parent_code;data_time
1;87146;digital maroon;EXE projection Fresh;35629;31800;2019-09-11T10:44:02
2;11005;Profit-focused;Jewelery cutting-edge;30478;695;2019-09-12T04:32:45
3;51074;supply-chains magenta;encompassing;24412;94290;2019-09-12T04:27:31
4;32320;Mauritania;facilitate Tasty Concrete Chips Exclusive;69630;49724;2019-09-11T15:24:11
5;30087;zero tolerance;mission-critical;97661;50267;2019-09-11T22:37:58
6;5147;encompassing;deposit Canadian Dollar Lebanon;44778;98565;2019-09-11T19:13:42
7;24205;Bulgarian Lev navigate;Re-contextualized;80313;36778;2019-09-11T21:12:37
8;63230;withdrawal Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835;59089;2019-09-12T00:40:28
9;67756;Clothing;open-source turn-key;9617;17436;2019-09-11T09:55:31
10;69093;synthesize Creative;Forint;73521;11347;2019-09-12T03:28:47
